matrix,source_model,model_key,source_layer,layer_group,transformer_block,module,shape_family,method,pruning_family,target_sparsity,pruning_block_size,rows,cols,nnz,realized_sparsity,mask_sha256_16,activation_calibration
qwen25_3b_l20_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.o_proj.weight,qwen25_3b_block_20,20,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,fd3b93fc49fd8bae,qwen25_activation_rms_16prompts.npz
qwen25_3b_l20_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.o_proj.weight,qwen25_3b_block_20,20,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,cbc8fbd03b31c8ee,
qwen25_3b_l20_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.o_proj.weight,qwen25_3b_block_20,20,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,fd40d18853bf47ad,qwen25_activation_rms_16prompts.npz
qwen25_3b_l20_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.o_proj.weight,qwen25_3b_block_20,20,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,01389588ce4d0d19,
qwen25_3b_l20_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.o_proj.weight,qwen25_3b_block_20,20,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,fe912ff6235318fd,qwen25_activation_rms_16prompts.npz
qwen25_3b_l20_q_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.q_proj.weight,qwen25_3b_block_20,20,q_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,d7dd23cf66ef0ed6,
qwen25_3b_l20_q_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.q_proj.weight,qwen25_3b_block_20,20,q_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,6b58f1f25ea36f5c,qwen25_activation_rms_16prompts.npz
qwen25_3b_l20_q_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.q_proj.weight,qwen25_3b_block_20,20,q_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,e56719abc62e6714,
qwen25_3b_l20_q_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.q_proj.weight,qwen25_3b_block_20,20,q_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,f3ff41a803bace23,qwen25_activation_rms_16prompts.npz
qwen25_3b_l20_q_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.q_proj.weight,qwen25_3b_block_20,20,q_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,4bacbe2f42bae6ea,
qwen25_3b_l20_q_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.20.self_attn.q_proj.weight,qwen25_3b_block_20,20,q_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,bebb46996c522533,qwen25_activation_rms_16prompts.npz
qwen25_3b_l25_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.o_proj.weight,qwen25_3b_block_25,25,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,763ca5c122cc5103,
qwen25_3b_l25_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.o_proj.weight,qwen25_3b_block_25,25,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,40138c90931dc19d,qwen25_activation_rms_16prompts.npz
qwen25_3b_l25_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.o_proj.weight,qwen25_3b_block_25,25,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,c6e397470f81c0ea,
qwen25_3b_l25_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.o_proj.weight,qwen25_3b_block_25,25,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,25f8f64444930f37,qwen25_activation_rms_16prompts.npz
qwen25_3b_l25_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.o_proj.weight,qwen25_3b_block_25,25,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,9f3580e7a7c0f0d1,
qwen25_3b_l25_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.o_proj.weight,qwen25_3b_block_25,25,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,a7ce11c32198c8e5,qwen25_activation_rms_16prompts.npz
qwen25_3b_l25_q_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.q_proj.weight,qwen25_3b_block_25,25,q_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,169920092af4bc7d,
qwen25_3b_l25_q_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.q_proj.weight,qwen25_3b_block_25,25,q_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,06ee760d44ab5d47,qwen25_activation_rms_16prompts.npz
qwen25_3b_l25_q_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.q_proj.weight,qwen25_3b_block_25,25,q_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,abb0dfd560861359,
qwen25_3b_l25_q_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.q_proj.weight,qwen25_3b_block_25,25,q_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,7f522da344105daf,qwen25_activation_rms_16prompts.npz
qwen25_3b_l25_q_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.q_proj.weight,qwen25_3b_block_25,25,q_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,00b3bd74691d995d,
qwen25_3b_l25_q_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.25.self_attn.q_proj.weight,qwen25_3b_block_25,25,q_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,9cdd84835a386a0d,qwen25_activation_rms_16prompts.npz
qwen25_3b_l30_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.o_proj.weight,qwen25_3b_block_30,30,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,5538e2129423340a,
qwen25_3b_l30_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.o_proj.weight,qwen25_3b_block_30,30,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,05d7f9063bea662a,qwen25_activation_rms_16prompts.npz
qwen25_3b_l30_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.o_proj.weight,qwen25_3b_block_30,30,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,4177cbc3476d1754,
qwen25_3b_l30_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.o_proj.weight,qwen25_3b_block_30,30,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,2c87605380327f82,qwen25_activation_rms_16prompts.npz
qwen25_3b_l30_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.o_proj.weight,qwen25_3b_block_30,30,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,572f434b7a885f08,
qwen25_3b_l30_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.o_proj.weight,qwen25_3b_block_30,30,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,44a904cbf90689ed,qwen25_activation_rms_16prompts.npz
qwen25_3b_l30_q_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.q_proj.weight,qwen25_3b_block_30,30,q_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,fb8cca68919919a4,
qwen25_3b_l30_q_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.q_proj.weight,qwen25_3b_block_30,30,q_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,ba3edd3209ae8dbc,qwen25_activation_rms_16prompts.npz
qwen25_3b_l30_q_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.q_proj.weight,qwen25_3b_block_30,30,q_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,22e8c694609aa626,
qwen25_3b_l30_q_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.q_proj.weight,qwen25_3b_block_30,30,q_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,ddbe8e39265f693b,qwen25_activation_rms_16prompts.npz
qwen25_3b_l30_q_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.q_proj.weight,qwen25_3b_block_30,30,q_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,e3001a15bdc3c517,
qwen25_3b_l30_q_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.30.self_attn.q_proj.weight,qwen25_3b_block_30,30,q_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,7ba377f82d1a6376,qwen25_activation_rms_16prompts.npz
qwen25_3b_l35_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.35.self_attn.o_proj.weight,qwen25_3b_block_35,35,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,668037c0b23c4e7a,
qwen25_3b_l35_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.35.self_attn.o_proj.weight,qwen25_3b_block_35,35,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,efdae755fa78746a,qwen25_activation_rms_16prompts.npz
qwen25_3b_l35_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.35.self_attn.o_proj.weight,qwen25_3b_block_35,35,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,13d8c39f2b13b2da,
qwen25_3b_l35_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.35.self_attn.o_proj.weight,qwen25_3b_block_35,35,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,a9c7a06abc5c1f3f,qwen25_activation_rms_16prompts.npz
qwen25_3b_l35_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.35.self_attn.o_proj.weight,qwen25_3b_block_35,35,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,02ea4bd2abe36f2c,
qwen25_3b_l35_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.35.self_attn.o_proj.weight,qwen25_3b_block_35,35,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,663c56cb7ba133d3,qwen25_activation_rms_16prompts.npz
